144 Event 42364, Run 918, Split 4: Ecm = 3.10, Z = 192.74: E
145 Event 519906, Run 923, Split 9: Ecm = 3.10, Z = 193.23: D
146 Event 366068, Run 894, Split 14: Ecm = 3.11, Z = 238.64: E
147 Event 210500, Run 893, Split 22: Ecm = 3.11, Z = 224.35: E
148 Event 1209641, Run 915, Split 5: Ecm = 3.11, Z = 222.56: E
149 Event 430514, Run 909, Split 19: Ecm = 3.11, Z = 264.39: B
150 Event 15200, Run 918, Split 1: Ecm = 3.11, Z = 235.06: D
151 Event 596097, Run 888, Split 1: Ecm = 3.12, Z = 200.22: E
152 Event 270767, Run 885, Split 23: Ecm = 3.12, Z = 262.46: E
153 Event 380651, Run 885, Split 33: Ecm = 3.12, Z = 239.98: E
154 Event 809873, Run 897, Split 7: Ecm = 3.12, Z = 204.49: E
155 Event 196396, Run 921, Split 18: Ecm = 3.13, Z = 212.03: E
156 Event 407766, Run 909, Split 17: Ecm = 3.13, Z = 207.94: E
157 Event 1074171, Run 914, Split 14: Ecm = 3.14, Z = 199.60: E
158 Event 447653, Run 884, Split 38: Ecm = 3.15, Z = 233.19: D
159 Event 1648733, Run 901, Split 15: Ecm = 3.15, Z = 207.37: E
160 Event 197324, Run 908, Split 18: Ecm = 3.17, Z = 217.89: E
161 Event 495784, Run 895, Split 10: Ecm = 3.17, Z = 241.05: B
162 Event 2141885, Run 903, Split 20: Ecm = 3.17, Z = 213.75: B
163 Event 93362, Run 929, Split 9: Ecm = 3.17, Z = 224.57: E
164 Event 875955, Run 913, Split 18: Ecm = 3.18, Z = 319.47: B
165 Event 170810, Run 879, Split 4: Ecm = 3.18, Z = 202.44: D
166 Event 153287, Run 879, Split 3: Ecm = 3.18, Z = 258.33: E
167 Event 536857, Run 923, Split 11: Ecm = 3.19, Z = 221.91: E
168 Event 1215345, Run 915, Split 5: Ecm = 3.19, Z = 226.93: E
169 Event 144852, Run 885, Split 12: Ecm = 3.20, Z = 210.84: E
170 Event 771320, Run 897, Split 3: Ecm = 3.20, Z = 189.02: E
171 Event 170956, Run 908, Split 16: Ecm = 3.20, Z = 204.60: E
172 Event 19469, Run 884, Split 1: Ecm = 3.21, Z = 215.82: E
173 Event 1142697, Run 899, Split 4: Ecm = 3.21, Z = 190.18: E
174 Event 1350502, Run 900, Split 5: Ecm = 3.21, Z = 209.26: E
175 Event 759627, Run 889, Split 15: Ecm = 3.21, Z = 202.43: D
176 Event 244193, Run 909, Split 1: Ecm = 3.22, Z = 205.26: A
177 Event 730631, Run 889, Split 12: Ecm = 3.22, Z = 243.02: A
178 Event 1229445, Run 927, Split 6: Ecm = 3.23, Z = 215.04: E
179 Event 387368, Run 894, Split 17: Ecm = 3.23, Z = 276.60: D
180 Event 774294, Run 913, Split 8: Ecm = 3.24, Z = 213.70: E
181 Event 832032, Run 889, Split 22: Ecm = 3.25, Z = 222.41: E
182 Event 646041, Run 924, Split 2: Ecm = 3.25, Z = 206.09: E
183 Event 377962, Run 885, Split 33: Ecm = 3.25, Z = 258.25: D
