17 Event 38565, Run 987, Split 1: Ecm = 3.76, Z = 304.05: E
18 Event 11410, Run 973, Split 2: Ecm = 3.75, Z = 302.35: B
19 Event 2942, Run 964, Split 0: Ecm = 5.55, Z = 297.61: B
20 Event 19364, Run 978, Split 3: Ecm = 3.61, Z = 296.63: B
21 Event 122815, Run 989, Split 5: Ecm = 4.42, Z = 293.86: B
22 Event 8859, Run 964, Split 1: Ecm = 3.74, Z = 290.75: E
23 Event 117511, Run 989, Split 4: Ecm = 5.01, Z = 290.48: E
24 Event 93949, Run 981, Split 1: Ecm = 4.90, Z = 289.46: B
25 Event 47063, Run 979, Split 3: Ecm = 4.36, Z = 286.51: E
26 Event 68546, Run 980, Split 2: Ecm = 3.81, Z = 286.31: E
27 Event 3903, Run 964, Split 0: Ecm = 3.66, Z = 282.77: D
28 Event 93851, Run 981, Split 1: Ecm = 5.36, Z = 282.76: E
29 Event 22737, Run 978, Split 4: Ecm = 3.90, Z = 280.89: B
30 Event 243036, Run 955, Split 9: Ecm = 4.90, Z = 276.74: E
31 Event 143108, Run 954, Split 4: Ecm = 3.56, Z = 274.71: E
32 Event 9293, Run 986, Split 1: Ecm = 4.26, Z = 266.39: E
33 Event 86021, Run 980, Split 5: Ecm = 4.57, Z = 264.97: E
34 Event 87811, Run 981, Split 0: Ecm = 4.21, Z = 264.69: B
35 Event 4530, Run 957, Split 0: Ecm = 3.52, Z = 264.64: B
36 Event 149118, Run 954, Split 6: Ecm = 5.66, Z = 263.09: E
37 Event 64121, Run 980, Split 1: Ecm = 4.05, Z = 259.17: E
38 Event 56014, Run 987, Split 4: Ecm = 4.21, Z = 256.42: E
39 Event 54964, Run 987, Split 4: Ecm = 4.78, Z = 254.63: E
40 Event 103855, Run 981, Split 3: Ecm = 4.37, Z = 254.38: B
41 Event 117006, Run 954, Split 0: Ecm = 4.04, Z = 251.17: E
42 Event 1117, Run 978, Split 0: Ecm = 7.08, Z = 250.15: B
43 Event 173304, Run 954, Split 10: Ecm = 3.70, Z = 248.19: E
44 Event 10295, Run 986, Split 1: Ecm = 4.50, Z = 245.97: B
45 Event 225534, Run 955, Split 6: Ecm = 4.05, Z = 244.79: B
46 Event 2526, Run 973, Split 0: Ecm = 4.97, Z = 242.17: D
47 Event 6504, Run 964, Split 1: Ecm = 3.85, Z = 240.43: E
48 Event 88714, Run 988, Split 5: Ecm = 5.06, Z = 240.21: B
49 Event 12015, Run 978, Split 2: Ecm = 4.20, Z = 239.96: B
50 Event 73513, Run 980, Split 3: Ecm = 5.96, Z = 238.05: B
51 Event 168290, Run 954, Split 9: Ecm = 4.66, Z = 235.62: E
52 Event 74271, Run 980, Split 3: Ecm = 5.61, Z = 228.59: B
53 Event 1242, Run 978, Split 0: Ecm = 3.73, Z = 224.48: B
54 Event 354, Run 978, Split 0: Ecm = 4.72, Z = 224.45: E
55 Event 102361, Run 981, Split 2: Ecm = 3.75, Z = 222.47: B
56 Event 124975, Run 989, Split 5: Ecm = 4.60, Z = 219.94: E
57 Event 70800, Run 980, Split 2: Ecm = 3.81, Z = 218.87: E
58 Event 63126, Run 988, Split 0: Ecm = 3.77, Z = 216.37: E
0 Event 10448,  Run 963, Split 1: Ecm = 7.50, Z = 308.90: B
1 Event 1394, Run 971, Split 0: Ecm = 5.87, Z = 298.29: B
2 Event 4989, Run 973, Split 0: Ecm = 6.72, Z = 258.23: B
3 Event 64991, Run 980, Split 1: Ecm = 5.41, Z = 266.06: B
4 Event 102657, Run 981, Split 2: Ecm = 7.07, Z = 292.92: B
5 Event 80266, Run 988, Split 3: Ecm = 7.90, Z = 193.73: E
0 Event 2463, Run 978, Split 0: Ecm = 3.80, Z = 400.62: B
1 Event 135553, Run 982, Split 3: Ecm = 4.24, Z = 375.70: B
2 Event 11639, Run 973, Split 2: Ecm = 4.34, Z = 373.13: B
3 Event 8086, Run 968, Split 1: Ecm = 3.56, Z = 370.10: B
4 Event 1368, Run 968, Split 0: Ecm = 3.73, Z = 367.37: B
5 Event 107541, Run 981, Split 3: Ecm = 6.19, Z = 365.31: D
6 Event 9196, Run 971, Split 1: Ecm = 6.15, Z = 363.10: B
7 Event 23689, Run 978, Split 4: Ecm = 4.32, Z = 359.75: B
8 Event 6968, Run 963, Split 1: Ecm = 5.13, Z = 357.56: B
9 Event 5018, Run 968, Split 0: Ecm = 4.96, Z = 356.23: B
10 Event 3329, Run 973, Split 0: Ecm = 4.10, Z = 353.01: B
11 Event 19730, Run 986, Split 3: Ecm = 4.91, Z = 348.33: B
12 Event 284382, Run 955, Split 17: Ecm = 5.19, Z = 345.77: B
13 Event 78189, Run 988, Split 3: Ecm = 5.99, Z = 344.70: B
14 Event 113838, Run 981, Split 5: Ecm = 4.37, Z = 343.74: B
15 Event 111221, Run 989, Split 3: Ecm = 4.41, Z = 342.81: B
16 Event 65769, Run 980, Split 1: Ecm = 6.42, Z = 341.84: B
17 Event 10603, Run 986, Split 1: Ecm = 5.01, Z = 338.17: B
18 Event 127603, Run 982, Split 2: Ecm = 5.08, Z = 337.86: B
19 Event 119860, Run 989, Split 4: Ecm = 4.50, Z = 335.98: B
20 Event 48313, Run 979, Split 3: Ecm = 5.21, Z = 334.04: B
21 Event 115709, Run 989, Split 4: Ecm = 4.90, Z = 329.38: B
22 Event 7668, Run 971, Split 1: Ecm = 6.55, Z = 324.56: B
23 Event 284382, Run 955, Split 17: Ecm = 5.19, Z = 345.77: B
