30	10	32.5	62.5	
30	11	30	62.5	
30	12	27.5	51.5	
30	13	27	51.5	
30	14	0	0	
30	15	0	0	
30	16	0	0	
30	17	0	0	
30	18	0	0	
30	19	0	0	
30	20	0	0	
30	21	0	0	
30	22	0	0	
30	23	0	0	
30	24	0	0	
31	0	0	0	
31	1	75.5	123.5	
31	2	63.5	118.5	
31	3	54.5	106.5	
31	4	47.5	95.5	
31	5	42.5	87.5	
31	6	37.5	80.5	
31	7	34.5	74.5	
31	8	30.5	69.5	
31	9	27.5	64.5	
31	10	25.5	61.5	
31	11	23.5	55.5	
31	12	22.5	49.5	
31	13	22.5	46.5	
31	14	22	46.5	
31	15	0	0	
31	16	0	0	
31	17	0	0	
31	18	0	0	
31	19	0	0	
31	20	0	0	
31	21	0	0	
31	22	0	0	
31	23	0	0	
31	24	0	0	
32	0	0	0	
32	1	34.5	75.5	
32	2	28.5	70.5	
32	3	23.5	68.5	
32	4	23.5	63.5	
32	5	21.5	60.5	
32	6	19.5	54.5	
32	7	18.5	52.5	
32	8	16.5	50.5	
32	9	15.5	45.5	
32	10	14.5	42.5	
32	11	14.5	40.5	
32	12	14.5	37.5	
32	13	14	37.5	
32	14	0	0	
32	15	0	0	
32	16	0	0	
32	17	0	0	
32	18	0	0	
32	19	0	0	
32	20	0	0	
32	21	0	0	
32	22	0	0	
32	23	0	0	
32	24	0	0	
33	0	0	0	
33	1	43.5	94.5	
33	2	36.5	88.5	
33	3	33.5	81.5	
33	4	29.5	75.5	
33	5	25.5	69.5	
33	6	23.5	64.5	
33	7	22.5	59.5	
33	8	19.5	56.5	
33	9	18.5	53.5	
33	10	18.5	48.5	
33	11	16.5	45.5	
33	12	15.5	43.5	
33	13	15.5	35.5	
33	14	15	35.5	
33	15	0	0	
33	16	0	0	
33	17	0	0	
33	18	0	0	
33	19	0	0	
33	20	0	0	
33	21	0	0	
33	22	0	0	
33	23	0	0	
33	24	0	0	
34	0	0	0	
34	1	60.5	109.5	
34	2	47.5	104.5	
34	3	42.5	94.5	
34	4	38.5	86.5	
34	5	34.5	79.5	
34	6	30.5	72.5	
34	7	26.5	67.5	
34	8	24.5	62.5	
34	9	22.5	57.5	
34	10	20.5	55.5	
34	11	20.5	51.5	
34	12	19.5	45.5	
34	13	17.5	39.5	
34	14	17	39.5	
34	15	0	0	
34	16	0	0	
34	17	0	0	
34	18	0	0	
34	19	0	0	
34	20	0	0	
34	21	0	0	
34	22	0	0	
34	23	0	0	
34	24	0	0	
35	0	0	0	
35	1	26.5	71.5	
35	2	22.5	67.5	
35	3	22.5	63.5	
35	4	16.5	59.5	
35	5	19.5	52.5	
35	6	16.5	41.5	
35	7	15.5	40.5	
35	8	12.5	39.5	
35	9	11.5	35.5	
35	10	10.5	32.5	
35	11	10	32.5	
35	12	10	29.5	
35	13	10	29.5	
35	14	0	0	
35	15	0	0	
35	16	0	0	
35	17	0	0	
35	18	0	0	
35	19	0	0	
35	20	0	0	
35	21	0	0	
35	22	0	0	
35	23	0	0	
35	24	0	0	
36	0	0	0	
36	1	77.5	123.5	
36	2	64.5	119.5	
36	3	55.5	106.5	
36	4	49.5	95.5	
36	5	44.5	87.5	
36	6	37.5	80.5	
36	7	34.5	74.5	
36	8	31.5	67.5	
36	9	28.5	64.5	
36	10	26.5	59.5	
36	11	24.5	54.5	
36	12	23.5	52.5	
36	13	21.5	48.5	
36	14	20	48.5	
36	15	0	0	
36	16	0	0	
36	17	0	0	
36	18	0	0	
36	19	0	0	
36	20	0	0	
36	21	0	0	
36	22	0	0	
36	23	0	0	
36	24	0	0	
37	0	0	0	
37	1	92.5	135.5	
37	2	80.5	129.5	
37	3	69.5	115.5	
37	4	62.5	104.5	
37	5	53.5	95.5	
37	6	49.5	87.5	
37	7	43.5	81.5	
37	8	39.5	76.5	
37	9	36.5	68.5	
37	10	36.5	65.5	
37	11	36	65.5	
37	12	0	0	
37	13	0	0	
37	14	0	0	
37	15	0	0	
37	16	0	0	
37	17	0	0	
37	18	0	0	
37	19	0	0	
37	20	0	0	
37	21	0	0	
37	22	0	0	
37	23	0	0	
37	24	0	0	
38	0	0	0	
38	1	108.5	143.5	
38	2	92.5	138.5	
38	3	82.5	123.5	
38	4	73.5	110.5	
38	5	66.5	102.5	
38	6	59.5	95.5	
38	7	53.5	83.5	
38	8	52.5	73.5	
38	9	52.5	73.5	
38	10	50	73.5	
38	11	0	0	
38	12	0	0	
38	13	0	0	
38	14	0	0	
38	15	0	0	
38	16	0	0	
38	17	0	0	
38	18	0	0	
38	19	0	0	
38	20	0	0	
38	21	0	0	
38	22	0	0	
38	23	0	0	
38	24	0	0	
39	0	0	0	
39	1	122.5	146.5	
39	2	103.5	135.5	
39	3	91.5	127.5	
39	4	85.5	114.5	
39	5	75.5	104.5	
39	6	70	104.5	
39	7	68.5	90.5	
39	8	68	90.5	
39	9	0	0	
39	10	0	0	
39	11	0	0	
39	12	0	0	
39	13	0	0	
39	14	0	0	
39	15	0	0	
39	16	0	0	
39	17	0	0	
39	18	0	0	
39	19	0	0	
39	20	0	0	
39	21	0	0	
39	22	0	0	
39	23	0	0	
39	24	0	0	
